head,type,value,tail_pos,tail_neg
204,2,68,69,552
204,3,428,692,1547
602,1,8,216,922
602,2,458,605,782
602,3,1609,705,1304
609,1,8,275,326
196,1,6,14,1155
196,3,96,25,40
276,1,8,70,1030
276,3,702,213,1080
282,1,6,317,1521
282,3,881,723,537
71,1,1,210,49
71,3,266,422,1261
117,1,3,265,1186
117,3,416,276,822
83,1,6,633,1073
83,2,85,418,542
79,1,5,568,249
79,3,193,50,1415
633,1,6,924,599
633,2,68,204,1367
633,3,112,294,731
499,1,8,319,78
499,3,1380,614,18
48,1,6,692,1246
508,1,6,531,369
508,2,188,191,1305
508,3,945,319,1680
179,1,6,284,1188
605,1,6,191,510
605,2,458,602,264
605,3,460,132,240
378,1,6,83,541
378,3,1091,494,44
471,1,6,197,385
471,2,53,651,860
471,3,189,1221,1551
99,1,0,71,612
99,2,103,404,1259
591,1,5,186,212
451,1,8,69,1539
451,3,12,56,859
614,1,6,427,1601
614,3,1380,499,712
702,1,2,965,330
423,1,10,465,193
423,2,84,174,250
723,1,6,605,1409
723,3,881,282,907
58,1,6,268,604
770,1,6,317,1021
770,3,118,651,1020
465,1,6,506,27
317,1,6,686,404
317,3,312,86,434
487,1,2,237,137
487,3,456,965,1153
966,1,6,193,1031
966,3,1331,478,265
705,1,2,294,1357
705,2,515,965,488
705,3,1609,602,1664
210,1,3,172,1015
210,2,84,174,587
210,3,193,174,488
506,1,6,715,721
506,3,1363,614,68
238,1,5,179,510
238,3,416,276,861
97,1,6,392,1601
97,3,347,121,1680
838,1,6,392,1337
418,1,6,924,1014
418,2,85,1039,1129
418,3,701,213,1223
82,1,4,490,1454
82,2,84,174,274
82,3,297,686,492
25,1,2,136,1116
25,2,28,197,1058
25,3,96,196,589
121,1,1,193,1671
121,3,298,82,1221
1221,1,8,284,74
1221,3,189,216,1460
965,1,2,605,245
965,2,515,705,1184
965,3,456,485,355
404,1,2,609,554
404,2,106,99,1084
404,3,1152,497,885
140,1,1,172,1427
622,1,10,465,1211
622,3,1175,416,220
209,1,2,715,1174
209,2,181,692,79
736,1,6,652,1500
159,1,4,490,1322
159,3,164,692,744
417,1,1,300,1404
417,3,642,193,1046
77,1,6,483,1031
77,3,13,25,1367
1053,1,6,838,493
715,1,6,159,680
65,1,6,282,739
568,1,5,179,636
568,3,145,282,308
422,1,2,417,1615
422,3,266,71,1051
284,1,8,692,1430
284,3,346,686,960
265,1,1,121,1123
265,3,641,193,817
763,1,2,378,1327
553,1,8,216,231
553,2,372,462,706
553,3,713,568,1051
942,1,6,86,1472
258,1,6,307,876
258,2,68,204,369
328,1,3,121,1543
245,1,6,194,1077
245,3,193,181,1205
678,1,6,118,1246
678,3,111,257,1122
260,1,9,135,297
307,1,6,214,420
307,3,713,429,1471
9,1,6,318,1322
100,1,6,553,548
100,2,82,81,1172
118,1,6,318,1131
118,3,107,470,376
50,1,1,121,888
50,3,193,245,1609
7,1,7,443,858
7,2,9,175,1458
7,3,25,144,599
181,1,1,257,861
181,3,193,89,171
591,1,6,164,233
1,1,2,153,260
1,3,0,69,854
15,1,6,443,388
147,1,5,55,1477
151,1,2,163,1141
109,1,2,151,910
717,1,6,9,563
717,3,165,120,630
405,1,1,655,235
405,2,77,447,80
405,3,284,237,576
123,1,2,69,584
123,3,428,692,817
24,1,3,50,1055
249,1,1,520,1451
257,1,2,274,748
257,3,111,678,256
250,1,3,118,1682
250,3,25,7,1214
237,1,6,427,1452
237,3,284,405,1119
756,1,2,204,1332
148,1,1,204,614
148,3,164,159,331
121,1,1,11,295
121,3,104,257,1553
120,1,2,24,1436
120,3,165,717,1237
240,1,1,151,885
240,3,25,7,925
153,1,5,238,768
153,3,534,168,613
191,1,6,443,1110
191,2,188,357,1318
135,1,9,250,453
135,2,150,200,75
209,1,2,249,1130
209,2,181,173,389
202,1,2,274,87
132,1,10,173,1189
132,2,144,133,615
89,1,4,159,448
89,3,193,174,1477
480,1,3,144,279
480,2,186,185,1223
318,1,6,81,484
318,2,84,423,772
318,3,316,87,334
143,1,6,633,675
143,3,171,163,21
1058,1,6,214,177
1058,2,488,660,1612
507,1,6,164,797
507,3,466,133,782
197,1,6,87,1302
603,1,7,258,97
603,2,186,480,166
208,1,2,120,922
655,1,1,520,951
655,2,181,173,90
55,1,3,190,1609
168,1,2,95,508
168,2,9,175,839
168,3,534,153,743
194,1,2,24,1306
194,3,294,81,526
692,1,6,147,73
692,2,181,655,749
692,3,428,123,971
474,1,2,109,534
474,2,150,200,1115
474,3,562,163,1636
144,1,3,118,1447
144,3,25,240,740
185,1,7,5,571
185,2,186,443,679
432,1,0,633,1084
357,1,6,11,760
357,2,188,191,339
95,1,1,625,1644
95,3,96,755,78
133,1,6,193,397
133,2,144,132,343
133,3,466,507,663
5,1,7,185,88
5,3,17,238,1578
238,1,2,67,1346
238,2,82,81,1240
238,3,17,5,1446
447,1,15,200,1272
447,2,77,405,698
211,1,2,197,20
633,1,0,588,1022
633,2,68,204,107
633,3,112,67,630
317,1,6,55,121
71,1,6,9,1219
96,1,9,164,1418
96,2,98,195,373
96,3,343,195,1658
159,1,4,260,44
159,3,164,692,1391
200,1,6,81,551
200,2,150,474,646
161,1,6,553,358
161,3,284,237,392
174,1,1,50,1624
174,2,84,423,1614
174,3,193,245,808
69,1,6,553,1065
69,2,68,258,558
69,3,0,1,277
157,1,6,317,29
87,1,13,22,999
87,3,316,318,231
755,1,1,655,588
755,3,96,95,1521
588,1,0,633,931
429,1,6,245,301
429,3,168,660,1153
644,1,6,55,673
946,1,6,245,560
946,3,235,470,1011
553,1,6,357,323
553,3,713,307,1098
520,1,1,193,375
195,1,3,172,907
195,2,98,164,458
195,3,342,96,105
64,1,6,133,1161
64,3,188,81,1110
660,1,6,357,362
660,2,488,1058,471
660,3,1255,443,1300
11,1,6,429,181
22,1,6,11,1409
175,1,6,644,426
175,2,9,168,740
175,3,594,250,1630
190,1,3,245,134
164,1,9,250,1181
164,2,98,96,95
164,3,417,193,356
214,1,0,542,1293
542,1,6,520,487
274,1,6,717,243
423,1,9,204,1145
423,2,84,318,1454
67,1,2,238,924
67,3,112,633,1255
443,1,6,148,1507
443,2,186,480,599
443,3,1255,660,1355
378,1,6,633,361
470,1,6,655,362
470,3,110,148,1466
81,1,6,644,1024
81,2,83,238,242
81,3,188,64,104
193,1,1,95,1608
193,3,417,164,638
172,1,1,148,89
172,3,194,50,1155
427,1,6,644,257
163,1,7,185,1653
163,3,171,143,75
625,1,1,204,768
173,1,1,11,487
173,2,181,209,1073
173,3,420,118,1199
204,1,2,692,694
204,2,68,633,161
204,3,428,123,1272
269,1,6,192,635
294,1,2,235,976
294,3,420,173,550
345,1,2,14,339
345,2,15,517,686
873,1,6,70,603
288,1,7,185,912
288,2,200,219,244
238,1,2,153,978
238,2,83,100,830
179,1,6,14,222
179,2,150,200,352
168,1,2,345,1483
168,2,9,7,1552
168,3,534,153,478
153,1,2,1225,180
153,3,534,168,558
182,1,6,320,1604
182,2,26,192,1395
182,3,336,192,1028
98,1,6,182,497
98,3,350,672,1639
606,1,6,671,1022
192,1,6,1225,1071
192,2,26,182,1659
192,3,592,175,180
656,1,6,19,57
478,1,2,194,402
478,3,477,603,1078
602,1,6,443,189
7,1,4,100,1283
7,2,9,168,1197
201,1,2,19,1419
201,2,185,184,1643
201,3,615,184,651
100,1,6,216,1110
100,2,83,238,1105
100,3,357,1070,891
671,1,9,175,734
320,1,6,179,121
234,1,6,676,72
234,2,84,210,1025
234,3,644,194,1170
185,1,4,659,1342
185,2,186,443,25
56,1,5,792,1409
56,3,12,451,991
447,1,15,184,88
675,1,15,200,958
200,1,6,873,1147
200,2,150,179,33
200,3,659,235,14
436,1,15,200,1513
637,1,15,436,718
217,1,15,672,432
217,3,712,433,1642
559,1,6,517,1080
559,3,329,433,1036
672,1,15,123,825
672,3,350,98,965
219,1,15,288,723
219,2,200,288,434
443,1,7,185,456
443,2,186,603,1052
558,1,6,559,1079
558,2,135,123,106
558,3,519,275,1272
184,1,15,123,742
184,2,185,201,1422
184,3,615,201,1110
603,1,7,288,1184
603,2,186,443,819
603,3,477,478,928
12,1,6,702,1105
12,3,46,789,1158
654,1,6,56,926
654,3,1392,504,835
525,1,5,182,387
222,1,9,746,1164
23,1,6,517,813
23,2,26,192,1443
659,1,2,211,867
659,3,1331,478,195
183,1,9,235,933
504,1,3,33,213
504,3,1392,654,139
789,1,5,12,412
789,3,46,12,5
33,1,5,238,756
230,1,2,762,348
275,1,8,478,1207
275,3,260,70,255
475,1,6,873,1531
762,1,2,209,1395
14,1,6,671,440
116,1,2,856,451
137,1,6,200,17
19,1,2,201,5
150,1,6,676,1362
235,1,9,230,725
235,2,49,47,470
235,3,659,200,1433
123,1,2,702,720
123,2,135,558,55
123,3,428,204,590
813,1,17,222,733
283,1,8,602,1256
676,1,6,200,1281
676,3,712,433,852
194,1,5,504,1547
194,3,644,234,1488
517,1,6,656,1615
517,2,15,514,240
517,3,530,514,773
216,1,2,123,896
216,2,181,655,1111
42,1,2,153,37
645,1,17,222,1229
173,1,12,168,1670
173,2,181,655,14
173,3,420,294,985
746,1,2,230,636
514,1,8,746,472
514,2,15,792,177
514,3,531,517,862
209,1,2,150,1398
209,2,181,216,966
792,1,5,100,1050
792,2,15,517,521
210,1,12,294,474
210,2,84,234,977
208,1,2,168,1368
1070,1,2,433,1159
1070,3,357,100,486
175,1,6,179,487
175,2,9,7,1652
175,3,592,192,869
47,1,2,856,859
47,2,49,235,10
204,1,9,7,592
204,3,428,123,1531
856,1,6,558,431
856,3,712,676,508
211,1,6,856,167
1225,1,6,873,450
433,1,2,216,541
433,3,329,559,1468
655,1,6,558,635
655,2,181,209,1652
430,1,2,517,1442
702,1,2,789,823
451,1,21,430,1529
451,3,12,56,420
382,1,2,208,917
70,1,6,602,862
70,3,260,275,1383
202,1,2,294,788
286,1,8,202,1367
286,3,227,212,1043
9,1,6,211,828
50,1,3,495,330
50,3,193,79,1051
596,1,0,225,123
7,1,9,222,1094
7,2,9,175,982
1,1,1,121,206
1,3,0,28,574
181,1,1,455,546
181,3,194,50,200
919,1,12,294,1388
14,1,6,640,480
100,1,6,125,510
100,2,83,518,1164
237,1,6,276,1672
237,3,284,405,249
455,1,2,367,278
455,3,92,495,92
477,1,2,514,215
276,1,6,596,1361
276,3,416,238,125
15,1,6,212,996
222,1,9,228,1616
222,3,395,111,892
284,1,2,866,162
284,3,346,97,368
121,1,3,826,1315
121,3,347,97,843
111,1,17,222,831
111,2,125,211,746
111,3,395,222,967
405,1,3,480,1293
405,3,284,237,1326
546,1,4,218,637
546,3,12,125,50
147,1,6,175,608
274,1,6,284,1
274,2,240,482,362
274,3,861,483,1440
288,1,7,513,166
826,1,2,274,1603
125,1,8,514,1241
125,3,12,56,1182
294,1,12,472,766
294,2,66,411,300
294,3,420,118,46
118,1,1,480,1672
118,3,420,294,495
476,1,2,820,1116
476,3,531,514,724
225,1,2,495,199
225,2,207,432,1061
866,1,2,14,910
866,3,12,546,975
472,1,12,202,1294
597,1,7,480,527
597,3,1164,411,1382
820,1,1,405,518
411,1,8,481,1024
411,2,66,294,139
411,3,1164,597,1275
657,1,6,520,578
481,1,8,286,1120
481,2,240,482,1626
481,3,553,482,588
640,1,6,284,1054
8,1,2,414,954
513,1,4,518,925
513,3,468,134,1116
185,1,7,7,444
185,2,186,480,111
79,1,6,661,666
79,3,193,174,1148
480,1,1,97,1028
480,2,186,603,1394
432,1,0,596,1355
432,2,207,225,1206
523,1,6,125,1502
523,3,294,435,922
238,1,2,414,632
238,2,82,100,1066
238,3,416,276,819
435,1,6,87,799
435,3,650,197,958
133,1,6,518,916
133,3,464,661,571
212,1,8,582,1391
212,3,227,286,493
582,1,8,286,976
582,3,17,238,501
56,1,6,770,742
56,3,12,546,440
169,1,2,430,1671
134,1,6,212,1482
134,3,468,513,555
514,1,2,866,1449
514,3,531,476,481
174,1,3,826,765
174,2,84,318,361
174,3,193,50,13
527,1,16,28,219
527,3,316,318,698
603,1,7,657,596
603,2,186,480,1649
603,3,477,479,816
484,1,7,185,904
484,3,861,274,909
474,1,2,197,157
474,2,150,135,416
705,1,2,211,190
175,1,6,147,502
175,2,9,168,171
175,3,592,218,1054
87,1,6,597,983
87,3,316,527,350
178,1,6,79,1664
135,1,1,455,1479
135,2,150,474,178
228,1,1,820,1180
318,1,6,657,1072
318,2,84,174,1411
318,3,316,527,357
495,1,3,118,1606
495,3,92,455,1399
140,1,6,22,1649
482,1,8,582,355
482,2,240,274,444
482,3,553,481,528
430,1,2,202,870
479,1,8,514,612
479,2,186,185,845
479,3,477,603,888
520,1,1,1,1174
520,3,272,73,1628
661,1,3,228,1344
661,3,464,133,426
170,1,6,435,1065
518,1,6,134,834
518,2,82,238,1423
191,1,16,318,840
191,2,188,357,523
1078,1,17,111,1069
218,1,5,546,1124
218,3,592,175,543
414,1,2,73,1505
168,1,2,495,943
168,2,9,7,885
22,1,6,211,800
202,1,8,133,633
202,3,666,866,1410
97,1,1,118,1000
97,3,346,284,634
770,1,6,520,1471
208,1,2,197,189
1063,1,6,435,1071
211,1,6,582,21
211,2,125,111,320
28,1,1,135,995
28,3,107,118,751
197,1,2,140,1387
197,3,650,435,1398
418,1,6,770,629
183,1,9,222,1445
660,1,6,14,240
367,1,2,705,735
483,1,6,660,1301
483,3,861,274,308
73,1,2,294,1594
73,3,272,520,672
357,1,6,640,1016
357,2,188,191,1454
70,1,6,9,231
121,1,9,96,744
121,3,298,365,1646
252,1,9,204,1053
252,2,84,318,803
252,3,298,121,137
7,1,4,581,123
147,1,6,581,1023
278,1,6,71,129
278,3,329,559,1097
255,1,6,735,34
929,1,6,278,479
974,1,6,255,455
974,3,257,69,1367
406,1,12,419,1485
419,1,2,153,1293
419,3,499,143,212
1147,1,2,781,931
55,1,6,318,624
433,1,2,153,1065
433,3,329,559,396
223,1,6,28,1157
169,1,2,709,445
86,1,6,1220,226
86,3,197,217,718
174,1,1,420,183
174,2,84,423,885
174,3,193,210,235
427,1,6,131,1089
56,1,6,559,404
56,3,214,90,1171
443,1,6,234,719
443,2,186,185,1676
443,3,1255,660,447
28,1,1,234,243
28,3,0,69,1560
99,1,0,71,1276
99,2,106,432,1425
98,1,4,96,951
98,2,100,735,101
98,3,271,258,742
52,1,13,509,640
421,1,6,52,89
421,2,340,709,1188
421,3,154,40,1637
496,1,6,699,391
58,1,6,735,560
58,3,149,318,208
22,1,6,631,353
132,1,10,699,1264
132,2,144,485,739
650,1,6,40,482
238,1,5,147,600
91,1,12,132,47
625,1,1,174,115
949,1,8,1220,810
559,1,15,447,399
559,2,430,631,1672
559,3,329,433,31
367,1,8,69,1664
217,1,15,406,41
217,3,712,433,178
509,1,6,735,673
727,1,6,56,1298
727,3,711,217,606
210,1,3,568,1430
210,2,84,234,1390
210,3,193,174,206
191,1,13,22,1287
699,1,6,64,1270
699,3,712,433,820
96,1,4,185,1219
64,1,6,58,610
318,1,6,69,1471
318,2,84,423,1360
318,3,149,58,1166
588,1,10,99,55
185,1,7,443,836
185,2,186,443,484
491,1,8,278,570
216,1,2,69,178
216,2,181,655,1425
216,3,189,781,327
153,1,2,269,321
153,3,536,781,510
485,1,6,216,625
485,2,144,132,1153
485,3,456,131,1360
69,1,8,131,1011
69,2,68,204,56
69,3,0,735,65
95,1,2,52,298
95,3,96,755,993
778,1,6,617,298
778,3,180,420,1432
631,1,6,727,1091
631,2,430,559,589
11,1,6,699,338
747,1,20,169,529
781,1,6,699,756
781,3,189,216,1464
204,1,1,625,282
204,2,68,69,463
204,3,670,386,884
617,1,6,258,1180
609,1,10,929,1592
423,1,9,96,1372
423,2,84,174,1042
420,1,12,406,794
420,3,701,418,1589
735,1,6,821,1031
735,2,100,98,920
735,3,0,28,400
65,1,6,974,502
65,3,245,365,991
655,1,6,234,117
655,2,181,216,922
365,1,6,55,525
365,3,245,65,1231
143,1,6,92,535
143,3,499,419,835
568,1,1,95,15
568,3,330,92,1052
92,1,6,949,623
92,3,110,1135,12
219,1,15,559,398
447,1,15,559,247
418,1,6,821,691
418,3,701,420,738
432,1,0,99,798
432,2,102,99,1003
486,1,8,786,520
486,3,456,485,1214
1220,1,6,292,579
1220,2,253,292,967
66,1,6,200,785
66,2,65,1035,768
66,3,246,121,144
234,1,6,22,834
234,2,84,210,1456
785,1,8,778,444
785,3,509,786,1588
660,1,6,699,1410
660,2,488,754,707
660,3,869,278,270
451,1,8,66,934
451,3,155,40,77
755,1,3,55,535
755,3,96,95,931
1035,1,2,785,295
1035,2,65,66,1367
1135,1,13,318,1380
1135,3,110,92,1252
581,1,6,143,1456
581,3,196,559,1289
736,1,6,509,335
821,1,6,71,826
82,1,9,258,123
82,2,84,234,99
82,3,298,252,725
200,1,6,131,732
71,1,1,11,1661
402,1,6,736,755
402,3,153,40,1610
709,1,6,949,814
709,2,340,421,575
553,1,6,52,345
553,3,713,568,857
90,1,2,95,984
90,3,214,56,1418
786,1,6,617,7
786,3,1111,386,662
790,1,1,174,1623
40,1,6,69,868
40,3,154,421,1039
386,1,2,419,677
386,3,1111,786,476
131,1,6,421,1318
131,3,456,486,860
292,1,3,121,864
292,2,253,1220,1165
258,1,9,96,1032
258,2,68,69,685
258,3,271,98,530
754,1,4,7,862
754,2,488,660,1126
269,1,6,92,705
315,1,5,56,799
315,2,14,12,960
268,1,6,949,895
268,2,44,246,1368
268,3,786,246,528
340,1,6,100,906
340,3,290,722,92
288,1,7,312,1445
288,3,138,723,436
272,1,6,340,502
272,2,239,715,741
272,3,725,221,1136
333,1,6,708,397
333,3,33,9,1012
269,1,2,1282,7
347,1,2,1041,1087
347,3,1014,1262,959
332,1,6,215,622
332,3,207,107,1552
312,1,6,56,473
312,2,194,371,509
312,3,794,248,209
937,1,6,31,111
937,2,646,949,1448
937,3,169,950,1276
126,1,6,160,1592
126,3,440,1221,99
50,1,12,202,559
50,3,194,216,1047
284,1,2,934,983
284,3,14,742,594
845,1,6,237,96
14,1,6,1312,746
221,1,6,15,294
221,3,725,272,684
100,1,6,126,1629
471,1,3,31,1169
471,3,189,49,1558
246,1,8,268,1313
246,2,44,268,484
246,3,788,268,410
278,1,6,284,7
278,3,329,546,1280
276,1,6,215,423
276,3,416,117,1124
1282,1,6,216,1288
1282,3,190,49,611
458,1,16,28,279
458,3,315,87,587
280,1,13,458,1255
244,1,6,312,497
111,1,17,280,1273
1,1,2,268,752
1,3,0,28,8
147,1,6,458,171
248,1,2,69,215
248,3,555,160,1149
846,1,6,315,447
846,3,746,937,245
151,1,1,117,1526
1086,1,6,125,679
1086,2,363,451,610
237,1,6,98,173
15,1,6,215,430
1028,1,8,739,1456
1028,3,190,49,738
742,1,4,117,762
742,2,31,28,40
742,3,109,28,319
696,1,6,11,590
696,3,794,312,1071
255,1,2,196,1309
255,2,228,381,1614
255,3,812,739,169
476,1,2,1028,1091
117,1,3,147,486
117,3,416,276,436
762,1,6,255,1235
762,3,1860,715,174
950,1,6,648,1410
950,3,169,937,693
597,1,7,288,1097
764,1,2,762,406
107,1,8,1053,1626
107,3,155,451,740
823,1,5,147,1005
823,3,1983,1053,427
934,1,6,100,579
934,3,118,31,903
1312,1,2,953,654
28,1,6,124,1419
28,2,31,742,1303
28,3,0,1,95
197,1,2,347,698
197,3,649,716,1394
1262,1,2,248,96
1262,3,1014,347,1100
31,1,6,268,1116
31,3,118,471,1429
12,1,6,937,993
12,2,14,315,1274
12,3,45,699,631
9,1,6,1221,545
9,3,33,333,1071
11,1,6,949,1431
216,1,6,237,836
216,2,181,655,975
216,3,189,1221,925
239,1,6,715,352
239,2,199,215,897
582,1,8,70,1609
582,3,17,716,369
204,1,2,268,1274
204,2,68,69,1182
56,1,6,268,908
56,3,12,451,1110
98,1,6,332,1521
70,1,2,202,99
70,3,259,722,1120
724,1,8,1262,16
724,3,795,248,901
648,1,6,65,1402
371,1,6,278,673
371,2,194,312,1191
716,1,6,312,1030
716,3,17,582,272
553,1,6,724,675
66,1,6,125,1412
66,2,65,125,1033
66,3,247,846,921
381,1,6,255,623
381,2,228,255,598
739,1,8,381,1118
739,3,812,255,1248
949,1,8,708,971
949,2,646,937,1181
202,1,2,88,933
202,3,666,953,437
402,1,12,50,1322
402,3,371,723,50
662,1,6,312,1402
451,1,8,724,1307
451,2,363,1086,1100
451,3,12,125,448
88,1,2,723,1488
88,3,0,1,1321
155,1,6,553,80
155,3,153,402,638
1041,1,2,764,1222
1041,3,314,87,612
49,1,8,125,236
49,3,189,471,1499
781,1,6,708,493
781,3,189,1221,1054
722,1,2,739,89
722,3,290,340,1500
178,1,6,553,94
125,1,6,371,868
125,2,65,66,205
125,3,12,451,1447
87,1,6,14,95
87,3,314,1041,1139
196,1,2,1028,1326
162,1,6,215,996
65,1,6,823,986
124,1,6,160,482
655,1,6,98,390
655,2,181,216,781
69,1,6,221,1414
69,2,68,204,647
69,3,0,88,512
215,1,6,333,1513
215,2,199,239,965
215,3,346,284,35
699,1,6,12,195
699,3,1138,546,160
708,1,6,98,1088
660,1,6,278,117
660,3,1029,723,335
546,1,3,742,1465
546,3,329,278,566
1053,1,6,471,445
1053,3,1983,823,467
160,1,6,381,426
160,3,282,696,913
953,1,6,246,1419
953,3,666,202,917
715,1,2,246,1126
715,2,239,272,969
715,3,1860,762,259
1221,1,8,716,915
1221,3,189,471,277
1311,1,8,381,1263
1311,3,2311,934,1677
723,1,6,100,1609
723,3,371,402,520
286,1,6,114,700
286,3,149,58,1209
258,1,6,241,1476
258,2,68,204,1556
258,3,271,98,97
321,1,6,724,34
328,1,3,174,398
328,2,73,73,178
328,3,270,73,1515
294,1,12,172,504
294,3,420,118,388
289,1,6,553,1509
323,1,1,405,1558
323,3,4,235,1295
301,1,2,731,470
301,2,6,4,384
301,3,111,257,452
300,1,6,778,589
300,2,56,684,771
300,3,711,939,310
993,1,1,97,307
993,2,96,95,897
993,3,15,4,332
298,1,5,248,1654
298,2,258,546,1235
298,3,416,117,96
50,1,3,291,592
50,3,194,172,244
181,1,3,174,1331
181,3,194,50,1671
248,1,5,291,1564
248,3,376,186,207
257,1,2,211,772
257,2,6,301,171
257,3,111,79,1447
254,1,3,300,365
254,2,49,235,292
254,3,659,235,983
1023,1,8,131,1193
1023,2,530,732,190
1023,3,709,216,460
252,1,9,298,1446
252,2,84,82,1440
252,3,290,79,642
285,1,6,88,885
847,1,6,648,590
408,1,2,168,1184
408,2,176,189,553
408,3,576,189,1416
7,1,4,100,140
7,2,9,168,1356
7,3,25,144,750
235,1,2,625,1678
235,2,49,231,133
235,3,756,300,747
275,1,6,215,897
275,3,260,70,620
15,1,6,216,373
1,1,2,52,132
1,3,0,88,317
237,1,2,385,863
237,3,284,161,1632
628,1,6,336,570
628,3,108,939,91
151,1,2,301,587
546,1,5,315,1460
546,2,258,298,1075
546,3,329,939,698
100,1,6,71,50
25,1,2,211,264
25,3,96,95,797
9,1,6,951,34
137,1,6,58,819
591,1,6,300,1120
591,3,894,291,924
174,1,1,300,1217
174,2,84,318,1060
174,3,193,210,822
56,1,6,285,624
56,3,12,546,1259
95,1,2,186,544
95,2,96,993,1456
95,3,96,25,926
8,1,6,566,493
318,1,6,241,1411
318,2,84,82,525
318,3,149,286,21
169,1,2,204,183
169,2,176,189,1087
169,3,576,189,1284
216,1,8,486,89
216,2,181,173,715
216,3,189,471,990
553,1,6,86,1165
553,3,713,568,1131
168,1,2,151,1445
168,2,9,7,543
168,3,534,153,641
969,1,2,140,1594
969,2,117,102,156
969,3,1669,625,1258
202,1,12,294,39
173,1,12,202,271
173,2,181,216,1404
173,3,420,118,1547
196,1,6,131,1087
196,3,96,25,650
731,1,6,501,294
731,3,393,215,1483
98,1,6,28,271
98,2,100,735,291
98,3,271,73,314
189,1,1,173,456
189,2,176,169,1430
189,3,576,408,388
64,1,6,77,353
64,3,207,203,685
191,1,6,140,1450
735,1,6,191,1175
735,2,100,98,88
735,3,118,471,938
498,1,1,252,792
498,3,861,274,14
127,1,6,686,432
127,3,443,778,734
79,1,6,285,352
79,3,193,300,1213
186,1,3,174,177
186,3,376,248,1513
11,1,6,724,742
479,1,4,546,273
479,3,477,496,1650
724,1,6,418,422
724,3,795,248,1323
4,1,2,274,1625
4,2,6,257,1412
4,3,13,291,905
69,1,2,25,180
69,2,68,258,1192
69,3,0,28,1321
5,1,6,284,34
5,3,16,732,319
482,1,8,1023,37
482,2,240,486,476
432,1,12,173,334
432,2,330,501,403
516,1,6,496,248
28,1,6,596,171
28,2,31,742,358
28,3,107,118,536
133,1,6,9,551
133,3,464,496,622
102,1,1,210,723
102,2,117,625,392
102,3,366,969,236
66,1,6,724,447
66,2,65,1035,375
66,3,248,208,471
879,1,3,328,646
271,1,1,231,728
336,1,5,100,692
312,1,6,133,358
312,2,194,371,4
312,3,794,248,131
272,1,6,371,916
315,1,6,79,41
315,2,14,12,1152
539,1,10,257,522
539,3,97,25,853
892,1,10,418,620
892,3,96,25,1447
117,1,3,879,626
117,3,416,276,803
421,1,6,274,354
276,1,6,946,298
276,3,416,117,208
26,1,8,202,342
114,1,6,735,864
705,1,8,284,1223
131,1,8,553,634
131,3,456,274,587
491,1,3,248,1299
86,1,6,321,369
12,1,6,591,1046
12,2,14,315,1484
12,3,45,699,1603
70,1,2,732,281
70,3,260,275,1089
140,1,1,73,185
172,1,1,174,752
172,3,193,50,84
153,1,2,625,572
153,3,535,385,187
531,1,6,946,1102
203,1,6,97,796
203,2,194,291,77
203,3,13,291,889
52,1,6,143,982
946,1,6,847,645
143,1,6,114,459
371,1,6,566,109
371,2,194,312,1314
371,3,598,203,1306
97,1,1,231,386
97,3,346,215,558
648,1,6,114,568
471,1,3,546,1585
471,3,118,735,894
568,1,1,241,123
568,2,131,118,157
568,3,713,553,873
778,1,2,114,601
778,3,443,127,77
418,1,12,588,1588
385,1,4,323,1526
385,3,107,28,169
144,1,4,939,397
144,3,25,7,485
274,1,8,137,1531
274,2,240,486,975
274,3,861,498,1133
284,1,2,169,103
284,3,14,742,1274
241,1,6,496,1046
161,1,6,966,1031
161,3,284,405,1435
210,1,12,432,1044
210,2,84,423,22
210,3,193,174,198
215,1,6,28,478
215,3,346,97,507
966,1,6,100,1247
423,1,9,121,1261
423,2,84,318,578
732,1,2,235,1549
732,2,530,1023,102
732,3,536,153,1527
82,1,1,231,534
82,2,84,318,455
82,3,298,252,1025
118,1,6,591,701
118,2,131,568,819
118,3,107,385,1113
939,1,6,684,1592
939,3,108,28,930
845,1,6,211,382
222,1,17,847,856
222,3,395,550,101
208,1,2,692,133
208,3,248,66,546
501,1,0,151,773
501,2,106,432,58
496,1,6,275,105
496,3,464,133,527
77,1,6,731,895
77,3,13,203,1589
742,1,4,7,1094
742,2,31,28,762
742,3,270,73,1223
596,1,6,566,926
596,2,450,588,948
596,3,266,71,1076
71,1,1,73,645
71,3,266,596,577
88,1,6,289,222
88,3,0,1,240
382,1,2,625,1634
684,1,6,56,1
684,2,56,300,1014
684,3,598,686,678
588,1,0,501,912
588,2,450,596,314
111,1,17,280,10
111,2,125,211,1614
111,3,395,550,743
1035,1,10,588,551
1035,2,65,66,519
211,1,6,131,449
211,2,125,111,1627
280,1,16,58,1415
58,1,16,191,970
58,3,149,318,633
1053,1,6,501,1494
660,1,6,501,510
686,1,6,237,361
686,2,194,203,1356
686,3,297,82,1504
692,1,6,778,1531
692,2,181,173,875
692,3,428,204,1376
121,1,1,498,161
121,3,104,301,773
566,1,6,847,622
566,3,193,300,1021
486,1,6,939,1208
486,2,240,482,618
486,3,861,274,62
951,1,6,275,965
291,1,6,486,1175
291,2,194,371,507
291,3,598,686,1
231,1,1,405,973
231,2,49,235,158
231,3,745,254,582
550,1,17,222,1410
550,3,395,111,673
699,1,6,69,1007
699,3,45,12,1476
755,1,1,151,1389
